id;nombre;descripcion;fecha_creacion;fecha_publicacion_tienda;estado;precio
1;Genérico;up;2021-07-03T05:14:17;2021-07-03T02:26:13;DRAFT;32013
2;Auto web-readiness;payment Noruega Genérico;2021-07-03T15:06:33;2021-07-03T04:47:18;DRAFT;90917
3;ADP;Sabroso Parque Cuesta;2021-07-03T01:36:46;2021-07-03T09:48:30;DRAFT;10326
4;Gerente;firewall hacking;2021-07-03T03:04:28;2021-07-03T19:45:20;ACTIVE;91150
5;Gris proactive;Taiwan drive;2021-07-03T00:02:01;2021-07-02T23:01:58;DISABLED;11869
6;Negro Pelota;experiences Ejecutivo;2021-07-03T19:15:21;2021-07-03T18:32:57;DELETED;24590
7;payment Diverso;Salchichas Normas Pescado;2021-07-03T04:19:42;2021-07-03T00:58:19;DISABLED;76209
8;arquitectura Vía;payment;2021-07-02T23:34:09;2021-07-03T07:40:22;ACTIVE;43245
9;datos solid Pequeño;monetize overriding;2021-07-03T16:33:30;2021-07-03T03:44:14;ACTIVE;27820
10;Identidad withdrawal Loan;Ladrillo Decoración;2021-07-03T01:20:19;2021-07-03T05:11:23;DRAFT;51114
